BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
0	0	11	19	data/minimal_simulations/19_mph/driver/nobelt/noairbag/madymo/madymo.peak	1703.5	95	106	1703.5	95	106	2440.6	15239	248.78695208970436
1	0	11	19	data/minimal_simulations/19_mph/driver/belt/noairbag/madymo/madymo.peak	76.762	92	107	119.99	77	108	971.75	10034	99.05708460754332
0	1	11	19	data/minimal_simulations/19_mph/driver/nobelt/airbag/madymo/madymo.peak	28.504	88	103	54.462	75	111	215.43	1257.8	21.960244648318042
1	1	11	19	data/minimal_simulations/19_mph/driver/belt/airbag/madymo/madymo.peak	86.997	80	95	127.41	69	105	338.53	1987.4	34.50866462793068
0	0	13	19	data/minimal_simulations/19_mph/pass/nobelt/noairbag/madymo/madymo.peak	1782.4	94.7	97.1	1782.4	94.7	97.1	2661.7	16576	271.32517838939856
1	0	13	19	data/minimal_simulations/19_mph/pass/belt/noairbag/madymo/madymo.peak	47.584	81.8	96.8	84.327	73.4	109.4	251.15	859.86	25.60142711518858
0	1	13	19	data/minimal_simulations/19_mph/pass/nobelt/airbag/madymo/madymo.peak	21.88	93	108	38.153	80.6	116.6	200.71	1448.4	20.45973496432212
1	1	13	19	data/minimal_simulations/19_mph/pass/belt/airbag/madymo/madymo.peak	31.423	82.5	97.5	54.968	62.9	98.9	231.33	1619.9	23.581039755351682
0	0	11	20	data/minimal_simulations/20_mph/driver/nobelt/noairbag/madymo/madymo.peak	3030.5	92	102	3030.5	92	102	2767.4	17743	282.0998980632008
1	0	11	20	data/minimal_simulations/20_mph/driver/belt/noairbag/madymo/madymo.peak	429.91	96	98	429.91	96	98	1929	22482	196.6360856269113
0	1	11	20	data/minimal_simulations/20_mph/driver/nobelt/airbag/madymo/madymo.peak	31.619	89	104	60.385	73	109	225.12	1305.7	22.948012232415902
1	1	11	20	data/minimal_simulations/20_mph/driver/belt/airbag/madymo/madymo.peak	99.763	79	94	144.55	68	104	355.1	2220.9	36.19775739041794
0	0	13	20	data/minimal_simulations/20_mph/pass/nobelt/noairbag/madymo/madymo.peak	2386.6	91.9	94.4	2386.6	91.9	94.4	2951.2	18760	300.8358817533129
1	0	13	20	data/minimal_simulations/20_mph/pass/belt/noairbag/madymo/madymo.peak	52.526	80.9	95.9	94.215	73	109	261.75	872.49	26.68195718654434
0	1	13	20	data/minimal_simulations/20_mph/pass/nobelt/airbag/madymo/madymo.peak	27.825	91.7	106.7	48.794	79.3	115.3	304.61	1390.1	31.050968399592254
1	1	13	20	data/minimal_simulations/20_mph/pass/belt/airbag/madymo/madymo.peak	35.504	82	97	63.121	62.4	98.4	237.49	1731.6	24.208970438328237
0	0	11	21	data/minimal_simulations/21_mph/driver/nobelt/noairbag/madymo/madymo.peak	2993.7	90	100	2993.7	90	100	3016.8	18758	307.5229357798165
1	0	11	21	data/minimal_simulations/21_mph/driver/belt/noairbag/madymo/madymo.peak	193.49	88	103	229.43	77	108	765.48	11741	78.03058103975535
0	1	11	21	data/minimal_simulations/21_mph/driver/nobelt/airbag/madymo/madymo.peak	35.832	87	102	68.317	71	107	234.87	1566.1	23.941896024464832
1	1	11	21	data/minimal_simulations/21_mph/driver/belt/airbag/madymo/madymo.peak	113.7	78	93	164.14	67	103	373.76	2422	38.09989806320081
0	0	13	21	data/minimal_simulations/21_mph/pass/nobelt/noairbag/madymo/madymo.peak	2947.3	89.5	91.9	2947.3	89.5	91.9	3204.4	20420	326.64627930682974
1	0	13	21	data/minimal_simulations/21_mph/pass/belt/noairbag/madymo/madymo.peak	57.105	80.3	95.3	104.96	72.7	108.7	268.62	888.38	27.382262996941893
0	1	13	21	data/minimal_simulations/21_mph/pass/nobelt/airbag/madymo/madymo.peak	35.382	88.1	103.1	61.653	76.2	112.2	364.76	2231.4	37.18246687054026
